Nome;Tipo de Produto;Data de vencimento;Prazo até o vencimento;PL;SR;JR;Carteira;Caixa Livre;Fundo de Reserva;R.G.;Saldo em Aplicações;I.S.;I.S. (Tranche);% de Atraso;% de PDD;Rentabilidade Média Ativos %;Desenquadramentos;Próximo Pagamento;Originador;Emissor;Tipo de Oferta Sênior;Tipos de Ativos;Status do Pool
NLT Tech One;Pool;31/05/2025;-41;R$ 1.522.412,64;R$ 0,00;R$ 1.522.412,64;R$ 1.569.497,57;R$ 0,00;R$ 0,00;;R$ 0,00;100,0%;1,0%;103,1%;47.084,9%;1,9%;"";;Next Level Tecnologia LTDA;;Oferta Privada;CCB / Nota Comercial;Captação finalizada
Blipay Pool #1;Pool;26/07/2025;15;R$ 4.964.265,86;R$ 1.583.185,62;R$ 3.381.080,24;R$ 7.163.058,00;R$ 1.710.424,61;R$ 5.000,00;R$ 4,53;R$ 0,00;68,1%;30,0%;140,7%;3.572.569,2%;40,9%;"";26/07/2025;BLIPAY INTERMEDIACAO DE NEGOCIOS E TECNOLOGIA LTDA;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Pública;CCB;Captação finalizada
Digcap Pool #2;Pool;14/08/2025;34;R$ 999.713,72;R$ 441.641,39;R$ 558.072,33;R$ 990.675,23;R$ 0,00;R$ 1.500,00;R$ 3,18;R$ 0,00;55,8%;10,0%;20,7%;0,0%;4,0%;Prazo máximo por ativo (dias), Concentração máx por cedente em percentual;16/07/2025;Digcap Intermediação de Créditos Judiciais Ltda	;;Oferta Privada;Ativo Judicial;Captação finalizada
DS Pool #1;Pool;17/08/2025;37;R$ 359.897,99;R$ 352.950,61;R$ 6.947,38;R$ 495.180,89;R$ 0,00;R$ 2.500,00;R$ 1,40;R$ 0,00;1,9%;20,0%;137,6%;135.372,4%;3,5%;Concentração máx por sacado, Nível crítico de Subordinação da tranche Sênior;17/08/2025;COMPANHIA SECURITIZADORA X S.A;;Oferta Pública;Duplicata;Captação finalizada
a55 Pool #2;Pool;13/09/2025;64;R$ 107.867,71;R$ 0,00;R$ 107.867,71;R$ 358.969,61;R$ 0,00;R$ 2.000,00;R$ 820.021.560,84;R$ 0,00;100,0%;20,0%;332,8%;251.278,7%;5,0%;Concentração máx por sacado, Concentração máx por cedente em percentual, Inadimplência percentual máxima da carteira;12/09/2025;a55 Consultoria em Credito Ltda.;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Pública;Duplicata;Captação finalizada
Dinie Pool #2;Pool;30/11/2025;142;R$ 916.881,34;R$ 724.602,89;R$ 192.278,44;R$ 853.657,89;R$ 134.318,73;R$ 6.000,00;R$ 1,29;R$ 0,00;21,0%;20,0%;24,1%;76.904,3%;11,7%;"";31/07/2025;DINIE CORRESPONDENTE BANCÁRIO E MEIOS DE PAGAMENTOS LTDA;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Pública;CCB;Captação finalizada
UnionNational Pool #4;Pool;25/12/2025;167;R$ 1.159.425,31;R$ 894.041,01;R$ 265.384,30;R$ 1.026.722,02;R$ 122.867,30;R$ 10.000,00;R$ 1,17;R$ 0,00;22,9%;20,0%;2,8%;164,0%;2,1%;"";25/12/2025;SECURITIZADORA DE CRÉDITOS FINANCEIROS S.A.;;Oferta Pública;Duplicata;Captação finalizada
LC Investe Pool #2;Pool;31/01/2026;204;R$ 989.256,29;R$ 834.654,61;R$ 154.601,68;R$ 844.392,37;R$ 0,00;R$ 4.500,00;R$ 1,13;R$ 66.751,87;15,7%;10,0%;;0,0%;2,2%;Concentração máx por sacado;05/01/2026;LC Investe LTDA;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Pública;Ativo Judicial;Captação finalizada
Up Vendas #1;Pool;01/02/2026;205;R$ 12.428,41;R$ 0,01;R$ 12.428,40;R$ 0,00;R$ 0,00;;R$ 0,00;R$ 0,00;100,0%;20,0%;;0,0%;;"";;Up Vendas;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Privada;Recebível de Cartão;Captação finalizada
SuperSim Pool #1;Pool;27/02/2026;231;R$ 16.639.368,44;R$ 6.990.994,50;R$ 9.648.373,94;R$ 19.724.515,39;R$ 1.542.410,02;R$ 100.000,00;R$ 3,19;R$ 2.819.662,50;57,5%;35,0%;55,7%;6.692.787,3%;41,6%;"";27/01/2026;SUPERSIM ANÁLISE DE DADOS E CORRESPONDENTE BANCÁRIO LTDA;;Oferta Privada;CCB;Captação finalizada
UnionNational Pool #3;Pool;18/06/2026;342;R$ 895.717,23;R$ 669.488,80;R$ 226.228,43;R$ 806.012,53;R$ 79.704,70;R$ 10.000,00;R$ 1,23;R$ 0,00;25,3%;20,0%;;0,0%;2,1%;"";18/06/2026;SECURITIZADORA DE CRÉDITOS FINANCEIROS S.A.;;Oferta Pública;Duplicata;Captação finalizada
BMDC Pool #1;Pool;22/08/2026;407;R$ 1.168.453,27;R$ 919.396,68;R$ 249.056,59;R$ 1.175.659,90;R$ 150,73;R$ 9.000,00;R$ 1,47;R$ 0,00;21,3%;20,0%;;0,0%;2,1%;"";22/09/2025;BMDC SECURITIZADORA SA;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Pública;CCB;Captação finalizada
Digcap Pool #3;Pool;03/10/2026;449;R$ 2.236.159,75;R$ 1.388.926,05;R$ 847.233,70;R$ 2.220.526,87;R$ 10.421,66;R$ 5.000,00;R$ 2,01;R$ 0,00;37,9%;15,0%;9,8%;0,0%;4,5%;"";28/03/2026;Digcap Intermediação de Créditos Judiciais Ltda	;;Oferta Pública;Ativo Judicial;Captação finalizada
Formento Pool #2;Pool;23/10/2026;469;R$ 2.249.928,14;R$ 1.751.935,68;R$ 497.992,46;R$ 2.198.420,37;R$ 48.174,44;R$ 3.333,33;R$ 1,31;R$ 0,00;22,1%;20,0%;;0,0%;2,8%;"";23/10/2026;Formento Securitizadora S.A.;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Pública;Duplicata;Captação finalizada
Pool Maralto #1;Pool;26/10/2026;472;R$ 43.880,65;R$ 47.866,81;R$ 0,00;R$ 0,00;R$ 0,01;R$ 0,00;R$ 0,00;R$ 0,00;;0,0%;;0,0%;;"";27/10/2026;AMFI CONSULTING LTDA;;Oferta Privada;Recebível de Cartão / CCB / Nota Comercial / CPR / Duplicata / Ativo Judicial;Captação finalizada
DS Pool #2;Pool;11/11/2026;488;R$ 1.442.361,97;R$ 1.587.828,88;R$ 0,00;R$ 2.048.826,49;R$ 0,00;R$ 2.500,00;R$ 1,29;R$ 0,00;-10,1%;20,0%;142,1%;606.605,2%;3,2%;Concentração máx por sacado, Nível crítico de Subordinação da tranche Sênior;11/11/2026;COMPANHIA SECURITIZADORA X S.A;;Oferta Pública;Duplicata;Captação finalizada
Zero Paralelo Pool #1;Pool;25/12/2026;532;R$ 69.472,01;R$ 0,00;R$ 0,00;R$ 0,00;R$ 6.502,76;R$ 0,00;;R$ 0,00;;0,0%;;0,0%;;"";25/12/2026;AMFI CONSULTING LTDA;;Oferta Pública;Recebível de Cartão / CCB / Nota Comercial / CPR / Duplicata / Ativo Judicial;Captação finalizada
