Nome;Tipo de Produto;Data de vencimento;Prazo até o vencimento;PL;SR;JR;Carteira;Caixa Livre;Fundo de Reserva;R.G.;Saldo em Aplicações;I.S.;I.S. (Tranche);% de Atraso;% de PDD;Rentabilidade Média Ativos %;Desenquadramentos;Próximo Pagamento;Originador;Emissor;Tipo de Oferta Sênior;Tipos de Ativos;Status do Pool
AmFi Pool de Unitokens ;Pool;23/05/2025;-38;R$ 94,14;R$ 0,01;R$ 94,13;R$ 0,00;R$ 94,14;R$ 0,00;R$ 0,00;R$ 0,00;;10,0%;;0,0%;;"";;AMFI CONSULTING LTDA;;Oferta Privada;Duplicata / Recebível de Cartão;Captação finalizada
NLT Tech One;Pool;31/05/2025;-30;R$ 1.522.412,64;R$ 0,00;R$ 1.522.412,64;R$ 1.569.497,57;R$ 0,00;R$ 0,00;;R$ 0,00;100,0%;1,0%;103,1%;47.084,9%;1,9%;"";;Next Level Tecnologia LTDA;;Oferta Privada;CCB / Nota Comercial;Captação finalizada
Blipay Pool #1;Pool;26/07/2025;26;R$ 5.285.565,01;R$ 1.571.027,72;R$ 3.714.537,29;R$ 6.903.482,86;R$ 1.714.307,45;R$ 5.000,00;R$ 4,56;R$ 0,00;70,3%;30,0%;60,2%;2.995.577,8%;40,9%;"";26/07/2025;BLIPAY INTERMEDIACAO DE NEGOCIOS E TECNOLOGIA LTDA;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Pública;CCB;Captação finalizada
Digcap Pool #2;Pool;14/08/2025;45;R$ 997.699,42;R$ 486.396,57;R$ 511.302,85;R$ 988.586,52;R$ 0,00;R$ 1.500,00;R$ 2,90;R$ 0,00;51,3%;10,0%;21,4%;0,0%;4,0%;Prazo máximo por ativo (dias), Concentração máx por cedente em percentual;16/07/2025;Digcap Intermediação de Créditos Judiciais Ltda	;;Oferta Privada;Ativo Judicial;Captação finalizada
DS Pool #1;Pool;17/08/2025;48;R$ 364.449,21;R$ 350.356,54;R$ 14.092,67;R$ 495.180,89;R$ 0,00;R$ 2.500,00;R$ 1,41;R$ 0,00;3,9%;20,0%;135,9%;130.821,2%;3,5%;Concentração máx por sacado, Nível crítico de Subordinação da tranche Sênior;17/08/2025;DS SECURITIZADORA S/A;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Pública;Duplicata;Captação finalizada
a55 Pool #2;Pool;13/09/2025;75;R$ 109.733,49;R$ 0,00;R$ 109.733,49;R$ 358.969,61;R$ 0,00;R$ 2.000,00;R$ 824.149.481,73;R$ 0,00;95,0%;20,0%;327,1%;251.278,7%;5,0%;Concentração máx por sacado, Concentração máx por cedente em percentual, Inadimplência percentual máxima da carteira;12/09/2025;a55 Consultoria em Credito Ltda.;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Pública;Duplicata;Captação finalizada
Dinie Pool #2;Pool;30/11/2025;153;R$ 920.049,38;R$ 719.038,38;R$ 201.010,99;R$ 974.232,43;R$ 0,00;R$ 6.000,00;R$ 1,44;R$ 0,00;22,4%;20,0%;16,0%;53.261,0%;12,5%;Concentração máx por sacado;31/07/2025;DINIE CORRESPONDENTE BANCÁRIO E MEIOS DE PAGAMENTOS LTDA;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Pública;CCB;Captação finalizada
UnionNational Pool #4;Pool;25/12/2025;178;R$ 1.148.606,26;R$ 887.917,70;R$ 260.688,56;R$ 942.662,91;R$ 196.946,36;R$ 10.000,00;R$ 1,08;R$ 0,00;22,7%;20,0%;1,3%;1.003,0%;2,1%;"";25/12/2025;SECURITIZADORA DE CRÉDITOS FINANCEIROS S.A.;;Oferta Pública;Duplicata;Captação finalizada
LC Investe Pool #2;Pool;31/01/2026;215;R$ 983.068,94;R$ 827.702,37;R$ 155.366,57;R$ 837.554,39;R$ 0,00;R$ 4.500,00;R$ 1,14;R$ 66.639,30;15,8%;10,0%;;0,0%;2,2%;Concentração máx por sacado;05/01/2026;LC Investe LTDA;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Pública;Ativo Judicial;Captação finalizada
Up Vendas #1;Pool;01/02/2026;216;R$ 1.434.319,09;R$ 0,01;R$ 1.434.319,08;R$ 620.884,21;R$ 813.434,88;;R$ 70.017.430,25;R$ 0,00;100,0%;20,0%;;0,0%;1,7%;"";;Up Vendas;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Privada;Recebível de Cartão;Captação finalizada
