Nome;Tipo de Produto;Data de vencimento;Prazo até o vencimento;PL;SR;JR;Carteira;Caixa Livre;Fundo de Reserva;R.G.;Saldo em Aplicações;I.S.;I.S. (Tranche);% de Atraso;% de PDD;Rentabilidade Média Ativos %;Desenquadramentos;Próximo Pagamento;Originador;Emissor;Tipo de Oferta Sênior;Tipos de Ativos;Status do Pool
NLT Tech One;Pool;31/05/2025;-45;R$ 1.522.412,64;R$ 0,00;R$ 1.522.412,64;R$ 1.569.497,57;R$ 0,00;R$ 0,00;;R$ 0,00;100,0%;1,0%;103,1%;47.084,9%;1,9%;"";;Next Level Tecnologia LTDA;;Oferta Privada;CCB / Nota Comercial;Captação finalizada
Blipay Pool #1;Pool;26/07/2025;11;R$ 4.693.989,74;R$ 1.585.900,13;R$ 3.108.089,61;R$ 7.171.232,79;R$ 1.710.424,61;R$ 5.000,00;R$ 4,52;R$ 0,00;66,2%;30,0%;148,8%;3.851.020,1%;40,9%;"";26/07/2025;BLIPAY INTERMEDIACAO DE NEGOCIOS E TECNOLOGIA LTDA;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Pública;CCB;Captação finalizada
Digcap Pool #2;Pool;14/08/2025;30;R$ 1.003.341,78;R$ 442.524,69;R$ 560.817,09;R$ 989.273,36;R$ 4.941,05;R$ 1.500,00;R$ 3,16;R$ 0,00;55,9%;10,0%;20,6%;0,0%;4,0%;Prazo máximo por ativo (dias), Concentração máx por cedente em percentual;16/07/2025;Digcap Intermediação de Créditos Judiciais Ltda	;;Oferta Privada;Ativo Judicial;Captação finalizada
DS Pool #1;Pool;17/08/2025;33;R$ 333.122,69;R$ 353.529,67;R$ 0,00;R$ 495.180,89;R$ 0,00;R$ 2.500,00;R$ 1,40;R$ 0,00;-6,1%;20,0%;148,7%;162.147,7%;3,5%;Concentração máx por sacado, Nível crítico de Subordinação da tranche Sênior;17/08/2025;COMPANHIA SECURITIZADORA X S.A;;Oferta Pública;Duplicata;Captação finalizada
a55 Pool #2;Pool;13/09/2025;60;R$ 176,91;R$ 0,00;R$ 176,91;R$ 358.969,61;R$ 0,00;R$ 2.000,00;R$ 818.525.630,26;R$ 0,00;100,0%;20,0%;202.909,6%;358.969,6%;5,0%;Concentração máx por sacado, Concentração máx por cedente em percentual, Inadimplência percentual máxima da carteira;12/09/2025;a55 Consultoria em Credito Ltda.;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Pública;Duplicata;Captação finalizada
Dinie Pool #2;Pool;30/11/2025;138;R$ 821.760,21;R$ 725.845,29;R$ 95.914,92;R$ 862.558,33;R$ 153.467,58;R$ 6.000,00;R$ 1,29;R$ 0,00;11,6%;20,0%;51,0%;180.925,9%;11,7%;Nível crítico de Subordinação da tranche Sênior;31/07/2025;DINIE CORRESPONDENTE BANCÁRIO E MEIOS DE PAGAMENTOS LTDA;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Pública;CCB;Captação finalizada
UnionNational Pool #4;Pool;25/12/2025;163;R$ 1.162.386,66;R$ 895.407,47;R$ 266.979,19;R$ 1.131.767,43;R$ 20.619,23;R$ 10.000,00;R$ 1,29;R$ 0,00;23,0%;20,0%;;0,0%;2,1%;"";25/12/2025;SECURITIZADORA DE CRÉDITOS FINANCEIROS S.A.;;Oferta Pública;Duplicata;Captação finalizada
LC Investe Pool #2;Pool;31/01/2026;200;R$ 992.661,09;R$ 836.207,46;R$ 156.453,63;R$ 846.893,33;R$ 0,00;R$ 4.500,00;R$ 1,13;R$ 66.792,86;15,8%;10,0%;;0,0%;2,2%;Concentração máx por sacado;05/01/2026;LC Investe LTDA;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Pública;Ativo Judicial;Captação finalizada
SuperSim Pool #1;Pool;27/02/2026;227;R$ 16.823.378,73;R$ 7.002.981,16;R$ 9.820.397,57;R$ 21.222.099,78;R$ 996.201,97;R$ 100.000,00;R$ 3,40;R$ 2.820.229,63;57,8%;35,0%;63,5%;7.588.725,8%;41,7%;"";27/01/2026;SUPERSIM ANÁLISE DE DADOS E CORRESPONDENTE BANCÁRIO LTDA;;Oferta Privada;CCB;Captação finalizada
UnionNational Pool #3;Pool;18/06/2026;338;R$ 897.643,15;R$ 670.512,05;R$ 227.131,09;R$ 828.291,31;R$ 59.351,84;R$ 10.000,00;R$ 1,26;R$ 0,00;25,3%;20,0%;;0,0%;2,1%;"";18/06/2026;SECURITIZADORA DE CRÉDITOS FINANCEIROS S.A.;;Oferta Pública;Duplicata;Captação finalizada
BMDC Pool #1;Pool;22/08/2026;403;R$ 1.171.726,26;R$ 921.413,15;R$ 250.313,11;R$ 1.178.932,89;R$ 150,73;R$ 9.000,00;R$ 1,47;R$ 0,00;21,4%;20,0%;;0,0%;2,1%;"";22/09/2025;BMDC SECURITIZADORA SA;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Pública;CCB;Captação finalizada
Digcap Pool #3;Pool;03/10/2026;445;R$ 2.248.209,42;R$ 1.390.844,90;R$ 857.364,52;R$ 2.223.939,53;R$ 19.058,14;R$ 5.000,00;R$ 2,00;R$ 0,00;38,1%;15,0%;9,7%;0,0%;4,5%;"";28/03/2026;Digcap Intermediação de Créditos Judiciais Ltda	;;Oferta Pública;Ativo Judicial;Captação finalizada
Formento Pool #2;Pool;23/10/2026;465;R$ 2.253.013,97;R$ 1.754.679,19;R$ 498.334,78;R$ 2.245.070,01;R$ 9.332,43;R$ 3.333,33;R$ 1,33;R$ 0,00;22,1%;20,0%;0,8%;4.721,8%;2,8%;"";23/10/2026;Formento Securitizadora S.A.;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Pública;Duplicata;Captação finalizada
Pool Maralto #1;Pool;26/10/2026;468;R$ 43.962,43;R$ 47.934,52;R$ 0,00;R$ 0,00;R$ 0,01;R$ 0,00;R$ 0,00;R$ 0,00;;0,0%;;0,0%;;"";27/10/2026;AMFI CONSULTING LTDA;;Oferta Privada;Recebível de Cartão / CCB / Nota Comercial / CPR / Duplicata / Ativo Judicial;Captação finalizada
DS Pool #2;Pool;11/11/2026;484;R$ 1.096.932,10;R$ 1.590.551,35;R$ 0,00;R$ 2.048.826,49;R$ 0,00;R$ 2.500,00;R$ 1,29;R$ 0,00;-45,0%;20,0%;186,8%;952.035,1%;3,2%;Concentração máx por sacado, Nível crítico de Subordinação da tranche Sênior;11/11/2026;COMPANHIA SECURITIZADORA X S.A;;Oferta Pública;Duplicata;Captação finalizada
Zero Paralelo Pool #1;Pool;25/12/2026;528;R$ 47.736,80;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,01;R$ 0,00;;R$ 0,00;;0,0%;;0,0%;;"";25/12/2026;AMFI CONSULTING LTDA;;Oferta Pública;Recebível de Cartão / CCB / Nota Comercial / CPR / Duplicata / Ativo Judicial;Captação finalizada
E-ctare Pool #1;Pool;28/02/2027;593;R$ 10.306.692,77;R$ 8.345.389,67;R$ 1.961.303,10;R$ 7.290.391,18;R$ 3.553.380,10;R$ 25.000,00;R$ 1,01;R$ 0,00;19,0%;20,0%;11,1%;562.078,5%;1,8%;Concentração máx por sacado, Percentual mínimo de garantias;28/07/2025;ECTARE PAY SERVICOS DE GESTAO DE PAGAMENTOS S/A,;;Oferta Privada;CPR / Duplicata;Captação finalizada
Credmei Pool #1;Pool;15/03/2027;608;R$ 20.139.355,50;R$ 18.091.792,50;R$ 2.047.563,00;R$ 19.602.074,44;R$ 0,00;R$ 0,00;R$ 1,11;R$ 0,00;10,2%;10,0%;9,6%;536.887,1%;3,0%;"";13/04/2026;CREDMEI SECURITIZADORA S/A;;Oferta Privada;Duplicata;Captação finalizada
Pool Nexo #1;Pool;26/03/2027;619;R$ 144.179,25;R$ 76.383,85;R$ 67.795,40;R$ 0,00;R$ 0,01;R$ 0,00;R$ 0,00;R$ 0,00;;5,0%;;0,0%;;"";26/03/2027;AMFI CONSULTING LTDA;;Oferta Privada;Recebível de Cartão / CCB / Nota Comercial / CPR / Duplicata / Ativo Judicial;Captação finalizada
a55 Cartão Pool #1;Pool;01/04/2027;625;R$ 12.601.554,76;R$ 0,00;R$ 12.601.554,76;R$ 12.587.797,30;R$ 13.663,43;R$ 0,00;;R$ 0,00;100,0%;1,0%;0,7%;0,0%;1,6%;"";;A55 PAYMENTS LTDA;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Privada;Recebível de Cartão;Captação finalizada
Chronos Pool #1;Pool;14/06/2027;699;R$ 1.335.184,46;R$ 1.010.955,46;R$ 324.229,00;R$ 386.226,48;R$ 925.476,78;R$ 25.000,00;R$ 0,39;R$ 0,00;24,3%;25,0%;22,8%;1.518,8%;9,2%;Concentração máx por cedente em percentual;13/01/2027;CHRONOS SECURITIZADORA S/A;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Privada;Duplicata;Captação finalizada
Faighus Pool #1;Pool;14/06/2027;699;R$ 1.474.428,33;R$ 1.018.115,29;R$ 456.313,04;R$ 1.305.895,11;R$ 145.367,96;R$ 25.000,00;R$ 1,37;R$ 0,00;31,0%;25,0%;1,8%;1.834,7%;6,3%;"";13/08/2025;FAIGHUS SECURITIZADORA S.A.;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Privada;Duplicata;Captação finalizada
Price Pool #1 ;Pool;24/06/2027;709;R$ 945.743,24;R$ 758.852,36;R$ 186.890,88;R$ 487.779,10;R$ 433.976,66;R$ 25.000,00;R$ 0,66;R$ 0,00;19,8%;20,0%;21,4%;1.012,5%;6,4%;Concentração máx por sacado, Concentração máx por cedente em percentual;24/07/2025;PRICE SECURITIZADORA S/A;;Oferta Privada;Duplicata;Captação finalizada
