Nome;Tipo de Produto;Data de vencimento;Prazo até o vencimento;PL;SR;JR;Carteira;Caixa Livre;Fundo de Reserva;R.G.;Saldo em Aplicações;I.S.;I.S. (Tranche);% de Atraso;% de PDD;Rentabilidade Média Ativos %;Desenquadramentos;Próximo Pagamento;Originador;Emissor;Tipo de Oferta Sênior;Tipos de Ativos;Status do Pool
NLT Tech One;Pool;31/05/2025;-44;R$ 1.522.412,64;R$ 0,00;R$ 1.522.412,64;R$ 1.569.497,57;R$ 0,00;R$ 0,00;;R$ 0,00;100,0%;1,0%;103,1%;47.084,9%;1,9%;"";;Next Level Tecnologia LTDA;;Oferta Privada;CCB / Nota Comercial;Captação finalizada
Blipay Pool #1;Pool;26/07/2025;12;R$ 4.691.905,19;R$ 1.584.542,29;R$ 3.107.362,90;R$ 7.169.148,24;R$ 1.710.424,61;R$ 5.000,00;R$ 4,53;R$ 0,00;66,2%;30,0%;148,8%;3.851.020,1%;40,9%;"";26/07/2025;BLIPAY INTERMEDIACAO DE NEGOCIOS E TECNOLOGIA LTDA;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Pública;CCB;Captação finalizada
Digcap Pool #2;Pool;14/08/2025;31;R$ 1.002.556,78;R$ 442.303,70;R$ 560.253,08;R$ 988.489,33;R$ 4.941,05;R$ 1.500,00;R$ 3,16;R$ 0,00;55,9%;10,0%;20,6%;0,0%;4,0%;Prazo máximo por ativo (dias), Concentração máx por cedente em percentual;16/07/2025;Digcap Intermediação de Créditos Judiciais Ltda	;;Oferta Privada;Ativo Judicial;Captação finalizada
DS Pool #1;Pool;17/08/2025;34;R$ 347.965,51;R$ 353.240,02;R$ 0,00;R$ 495.180,89;R$ 0,00;R$ 2.500,00;R$ 1,40;R$ 0,00;-1,5%;20,0%;142,3%;147.304,9%;3,5%;Concentração máx por sacado, Nível crítico de Subordinação da tranche Sênior;17/08/2025;COMPANHIA SECURITIZADORA X S.A;;Oferta Pública;Duplicata;Captação finalizada
a55 Pool #2;Pool;13/09/2025;61;R$ 107.867,77;R$ 0,00;R$ 107.867,77;R$ 358.969,61;R$ 0,00;R$ 2.000,00;R$ 818.899.357,39;R$ 0,00;100,0%;20,0%;332,8%;251.278,7%;5,0%;Concentração máx por sacado, Concentração máx por cedente em percentual, Inadimplência percentual máxima da carteira;12/09/2025;a55 Consultoria em Credito Ltda.;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Pública;Duplicata;Captação finalizada
Dinie Pool #2;Pool;30/11/2025;139;R$ 820.384,26;R$ 725.223,82;R$ 95.160,44;R$ 861.034,98;R$ 134.318,73;R$ 6.000,00;R$ 1,29;R$ 0,00;11,6%;20,0%;27,0%;180.778,5%;11,7%;Nível crítico de Subordinação da tranche Sênior;31/07/2025;DINIE CORRESPONDENTE BANCÁRIO E MEIOS DE PAGAMENTOS LTDA;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Pública;CCB;Captação finalizada
UnionNational Pool #4;Pool;25/12/2025;164;R$ 1.161.615,53;R$ 894.723,98;R$ 266.891,55;R$ 919.043,05;R$ 232.572,48;R$ 10.000,00;R$ 1,05;R$ 0,00;23,0%;20,0%;;0,0%;2,1%;"";25/12/2025;SECURITIZADORA DE CRÉDITOS FINANCEIROS S.A.;;Oferta Pública;Duplicata;Captação finalizada
LC Investe Pool #2;Pool;31/01/2026;201;R$ 991.979,10;R$ 835.430,67;R$ 156.548,43;R$ 846.267,38;R$ 0,00;R$ 4.500,00;R$ 1,13;R$ 66.782,61;15,8%;10,0%;;0,0%;2,2%;Concentração máx por sacado;05/01/2026;LC Investe LTDA;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Pública;Ativo Judicial;Captação finalizada
SuperSim Pool #1;Pool;27/02/2026;228;R$ 16.596.435,82;R$ 6.996.985,26;R$ 9.599.450,55;R$ 21.291.068,09;R$ 996.201,97;R$ 100.000,00;R$ 3,43;R$ 2.820.087,83;57,8%;35,0%;63,0%;7.069.054,5%;41,7%;"";27/01/2026;SUPERSIM ANÁLISE DE DADOS E CORRESPONDENTE BANCÁRIO LTDA;;Oferta Privada;CCB;Captação finalizada
UnionNational Pool #3;Pool;18/06/2026;339;R$ 897.081,72;R$ 670.000,23;R$ 227.081,48;R$ 650.369,88;R$ 236.711,84;R$ 10.000,00;R$ 0,99;R$ 0,00;25,3%;20,0%;;0,0%;2,1%;"";18/06/2026;SECURITIZADORA DE CRÉDITOS FINANCEIROS S.A.;;Oferta Pública;Duplicata;Captação finalizada
BMDC Pool #1;Pool;22/08/2026;404;R$ 1.170.907,31;R$ 920.908,62;R$ 249.998,69;R$ 1.178.113,94;R$ 150,73;R$ 9.000,00;R$ 1,47;R$ 0,00;21,4%;20,0%;;0,0%;2,1%;"";22/09/2025;BMDC SECURITIZADORA SA;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Pública;CCB;Captação finalizada
Digcap Pool #3;Pool;03/10/2026;446;R$ 2.245.457,74;R$ 1.389.885,14;R$ 855.572,60;R$ 2.221.187,98;R$ 19.058,14;R$ 5.000,00;R$ 2,01;R$ 0,00;38,1%;15,0%;9,7%;0,0%;4,5%;"";28/03/2026;Digcap Intermediação de Créditos Judiciais Ltda	;;Oferta Pública;Ativo Judicial;Captação finalizada
Formento Pool #2;Pool;23/10/2026;466;R$ 2.255.743,52;R$ 1.753.306,90;R$ 502.436,62;R$ 2.246.826,16;R$ 5.584,03;R$ 3.333,33;R$ 1,33;R$ 0,00;22,3%;20,0%;2,8%;0,0%;2,7%;"";23/10/2026;Formento Securitizadora S.A.;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Pública;Duplicata;Captação finalizada
Pool Maralto #1;Pool;26/10/2026;469;R$ 43.941,97;R$ 47.900,65;R$ 0,00;R$ 0,00;R$ 0,01;R$ 0,00;R$ 0,00;R$ 0,00;;0,0%;;0,0%;;"";27/10/2026;AMFI CONSULTING LTDA;;Oferta Privada;Recebível de Cartão / CCB / Nota Comercial / CPR / Duplicata / Ativo Judicial;Captação finalizada
DS Pool #2;Pool;11/11/2026;485;R$ 1.096.932,10;R$ 1.589.189,53;R$ 0,00;R$ 2.048.826,49;R$ 0,00;R$ 2.500,00;R$ 1,29;R$ 0,00;-44,9%;20,0%;186,8%;952.035,1%;3,2%;Concentração máx por sacado, Nível crítico de Subordinação da tranche Sênior;11/11/2026;COMPANHIA SECURITIZADORA X S.A;;Oferta Pública;Duplicata;Captação finalizada
Zero Paralelo Pool #1;Pool;25/12/2026;529;R$ 47.709,45;R$ 0,00;R$ 0,00;R$ 0,00;R$ 12.189,52;R$ 0,00;;R$ 0,00;;0,0%;;0,0%;;"";25/12/2026;AMFI CONSULTING LTDA;;Oferta Pública;Recebível de Cartão / CCB / Nota Comercial / CPR / Duplicata / Ativo Judicial;Captação finalizada
E-ctare Pool #1;Pool;28/02/2027;594;R$ 10.303.448,82;R$ 8.339.019,38;R$ 1.964.429,44;R$ 7.286.891,87;R$ 3.553.380,10;R$ 25.000,00;R$ 1,02;R$ 0,00;19,1%;20,0%;11,1%;561.823,1%;1,8%;Concentração máx por sacado, Percentual mínimo de garantias;28/07/2025;ECTARE PAY SERVICOS DE GESTAO DE PAGAMENTOS S/A,;;Oferta Privada;CPR / Duplicata;Captação finalizada
Credmei Pool #1;Pool;15/03/2027;609;R$ 20.125.249,61;R$ 18.080.954,83;R$ 2.044.294,79;R$ 19.701.048,79;R$ 0,00;R$ 0,00;R$ 1,12;R$ 0,00;10,2%;10,0%;3,7%;533.456,7%;3,0%;"";13/04/2026;CREDMEI SECURITIZADORA S/A;;Oferta Privada;Duplicata;Captação finalizada
Pool Nexo #1;Pool;26/03/2027;620;R$ 144.104,93;R$ 76.339,66;R$ 67.765,27;R$ 0,00;R$ 0,01;R$ 0,00;R$ 0,00;R$ 0,00;;5,0%;;0,0%;;"";26/03/2027;AMFI CONSULTING LTDA;;Oferta Privada;Recebível de Cartão / CCB / Nota Comercial / CPR / Duplicata / Ativo Judicial;Captação finalizada
a55 Cartão Pool #1;Pool;01/04/2027;626;R$ 12.590.207,90;R$ 0,00;R$ 12.590.207,90;R$ 11.984.338,74;R$ 605.775,17;R$ 0,00;;R$ 0,00;100,0%;1,0%;11,1%;0,0%;1,6%;"";;A55 PAYMENTS LTDA;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Privada;Recebível de Cartão;Captação finalizada
Chronos Pool #1;Pool;14/06/2027;700;R$ 1.334.825,92;R$ 1.010.108,49;R$ 324.717,43;R$ 385.867,94;R$ 925.476,78;R$ 25.000,00;R$ 0,39;R$ 0,00;24,3%;25,0%;11,5%;1.518,8%;9,2%;Concentração máx por cedente em percentual;13/01/2027;CHRONOS SECURITIZADORA S/A;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Privada;Duplicata;Captação finalizada
Faighus Pool #1;Pool;14/06/2027;700;R$ 1.472.979,67;R$ 1.017.243,58;R$ 455.736,09;R$ 1.272.211,15;R$ 176.487,96;R$ 25.000,00;R$ 1,34;R$ 0,00;28,5%;25,0%;0,4%;341,9%;6,3%;"";13/08/2025;FAIGHUS SECURITIZADORA S.A.;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Privada;Duplicata;Captação finalizada
